City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,Margin,WonBy,Player_of_Match
Bangalore,4/10/2010,2009/10,43,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,7,wickets,R Vinay Kumar
Delhi,4/11/2010,2009/10,44,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,7,wickets,PP Chawla
Jaipur,4/11/2010,2009/10,45,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Mumbai Indians,37,runs,SR Tendulkar
Nagpur,4/12/2010,2009/10,46,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bangalore,field,Deccan Chargers,13,runs,Harmeet Singh
Mumbai,4/13/2010,2009/10,47,Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians,39,runs,KA Pollard
Chennai,4/13/2010,2009/10,48,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,9,wickets,R Ashwin
Jaipur,4/14/2010,2009/10,49,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore,5,wickets,KP Pietersen
Chennai,4/15/2010,2009/10,50,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,6,wickets,G Gambhir
Dharamsala,4/16/2010,2009/10,51,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,field,Deccan Chargers,5,wickets,RG Sharma
Bangalore,4/17/2010,2009/10,52,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Mumbai Indians,57,runs,R McLaren
Kolkata,4/17/2010,2009/10,53,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Kolkata Knight Riders,8,wickets,JD Unadkat
Dharamsala,4/18/2010,2009/10,54,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,field,Chennai Super Kings,6,wickets,MS Dhoni
Delhi,4/18/2010,2009/10,55,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,bat,Deccan Chargers,11,runs,A Symonds
Kolkata,4/19/2010,2009/10,56,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Kolkata Knight Riders,9,wickets,M Kartik
Mumbai,4/21/2010,2009/10,Semi Final,Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai Indians,bat,Mumbai Indians,35,runs,KA Pollard
Mumbai,4/22/2010,2009/10,Semi Final,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Chennai Super Kings,bat,Chennai Super Kings,38,runs,DE Bollinger
Mumbai,4/24/2010,2009/10,3rd Place Play-Off,Royal Challengers Bangalore,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,bat,Royal Challengers Bangalore,9,wickets,A Kumble
Mumbai,4/25/2010,2009/10,Final,Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Chennai Super Kings,bat,Chennai Super Kings,22,runs,SK Raina
Chennai,4/8/2011,2011,1,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,2,runs,S Anirudha
Hyderabad,4/9/2011,2011,2,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,8,wickets,SK Trivedi
Kochi,4/9/2011,2011,3,Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,6,wickets,AB de Villiers
Delhi,4/10/2011,2011,4,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,bat,Mumbai Indians,8,wickets,SL Malinga
Mumbai,4/10/2011,2011,5,Pune Warriors,Kings XI Punjab,Dr DY Patil Sports Academy,Kings XI Punjab,bat,Pune Warriors,7,wickets,SB Wagh
Kolkata,4/11/2011,2011,6,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,9,runs,JH Kallis
Jaipur,4/12/2011,2011,7,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils,bat,Rajasthan Royals,6,wickets,SK Warne
Bangalore,4/12/2011,2011,8,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,9,wickets,SR Tendulkar
Chandigarh,4/13/2011,2011,9,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab,6,wickets,PC Valthaty
Mumbai,4/13/2011,2011,10,Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,bat,Pune Warriors,4,wickets,MD Mishra
Hyderabad,4/14/2011,2011,11,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,field,Deccan Chargers,33,runs,DW Steyn
Jaipur,4/15/2011,2011,12,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,9,wickets,G Gambhir
Mumbai,4/15/2011,2011,13,Mumbai Indians,Kochi Tuskers Kerala,Wankhede Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,8,wickets,BB McCullum
Chennai,4/16/2011,2011,14,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,21,runs,MEK Hussey
Hyderabad,4/16/2011,2011,15,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,8,wickets,PC Valthaty
Mumbai,4/17/2011,2011,16,Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Delhi Daredevils,3,wickets,Yuvraj Singh
Kolkata,4/17/2011,2011,17,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,8,wickets,L Balaji
Kochi,4/18/2011,2011,18,Kochi Tuskers Kerala,Chennai Super Kings,Nehru Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,7,wickets,BB McCullum
Delhi,4/19/2011,2011,19,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,bat,Deccan Chargers,16,runs,S Sohal
Mumbai,4/20/2011,2011,21,Mumbai Indians,Pune Warriors,Wankhede Stadium,Pune Warriors,bat,Mumbai Indians,7,wickets,MM Patel
Kolkata,4/20/2011,2011,22,Kolkata Knight Riders,Kochi Tuskers Kerala,Eden Gardens,Kolkata Knight Riders,field,Kochi Tuskers Kerala,6,runs,DPMD Jayawardene
Chandigarh,4/21/2011,2011,23,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab,48,runs,SE Marsh
Mumbai,4/22/2011,2011,25,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Mumbai Indians,8,runs,Harbhajan Singh
Kolkata,4/22/2011,2011,24,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,9,wickets,CH Gayle
Delhi,4/23/2011,2011,26,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,field,Delhi Daredevils,29,runs,DA Warner
Hyderabad,4/24/2011,2011,27,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians,37,runs,SL Malinga
Jaipur,4/24/2011,2011,28,Rajasthan Royals,Kochi Tuskers Kerala,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,8,wickets,SK Warne
Chennai,4/25/2011,2011,29,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,field,Chennai Super Kings,25,runs,MEK Hussey
Delhi,4/26/2011,2011,30,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,Royal Challengers Bangalore,3,wickets,V Kohli
Mumbai,4/27/2011,2011,31,Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,Pune Warriors,bat,Chennai Super Kings,8,wickets,DE Bollinger
Kochi,4/27/2011,2011,32,Kochi Tuskers Kerala,Deccan Chargers,Nehru Stadium,Kochi Tuskers Kerala,field,Deccan Chargers,55,runs,I Sharma
Delhi,4/28/2011,2011,33,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,field,Kolkata Knight Riders,17,runs,MK Tiwary
Jaipur,4/29/2011,2011,34,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,7,wickets,J Botha
Bangalore,4/29/2011,2011,35,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,field,Royal Challengers Bangalore,26,runs,V Kohli
Kochi,4/30/2011,2011,36,Kochi Tuskers Kerala,Delhi Daredevils,Nehru Stadium,Delhi Daredevils,bat,Delhi Daredevils,38,runs,V Sehwag
Kolkata,4/30/2011,2011,37,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,8,wickets,Iqbal Abdulla
Jaipur,5/1/2011,2011,38,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,6,wickets,LRPL Taylor
Chennai,5/1/2011,2011,39,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,19,runs,JA Morkel
Mumbai,5/2/2011,2011,40,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,field,Mumbai Indians,23,runs,KA Pollard
Delhi,5/2/2011,2011,41,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,7,wickets,P Parameswaran
Hyderabad,5/3/2011,2011,42,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Kolkata Knight Riders,20,runs,YK Pathan
Chennai,5/4/2011,2011,43,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Chennai Super Kings,8,wickets,MEK Hussey
Mumbai,5/4/2011,2011,44,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,Pune Warriors,field,Mumbai Indians,21,runs,R Sharma
Kochi,5/5/2011,2011,45,Kochi Tuskers Kerala,Kolkata Knight Riders,Nehru Stadium,Kolkata Knight Riders,field,Kochi Tuskers Kerala,17,runs,BJ Hodge
Hyderabad,5/5/2011,2011,46,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,field,Delhi Daredevils,4,wickets,V Sehwag
Bangalore,5/6/2011,2011,47,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Royal Challengers Bangalore,85,runs,CH Gayle
Kolkata,5/7/2011,2011,48,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Kolkata Knight Riders,10,runs,Iqbal Abdulla
Mumbai,5/7/2011,2011,49,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,field,Mumbai Indians,32,runs,AT Rayudu
Bangalore,5/8/2011,2011,50,Royal Challengers Bangalore,Kochi Tuskers Kerala,M Chinnaswamy Stadium,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,9,wickets,CH Gayle
Chandigarh,5/8/2011,2011,51,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Pune Warriors,5,wickets,R Sharma
Jaipur,5/9/2011,2011,52,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals,field,Chennai Super Kings,63,runs,M Vijay
Hyderabad,5/10/2011,2011,53,Deccan Chargers,Pune Warriors,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Pune Warriors,6,wickets,MR Marsh
Chandigarh,5/10/2011,2011,54,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,76,runs,BA Bhatt
Jaipur,5/11/2011,2011,55,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,9,wickets,S Aravind
Chennai,5/12/2011,2011,56,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,18,runs,MS Dhoni
Indore,5/13/2011,2011,57,Kochi Tuskers Kerala,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,6,wickets,KD Karthik
Bangalore,5/14/2011,2011,58,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,4,wickets,CH Gayle
Mumbai,5/14/2011,2011,59,Mumbai Indians,Deccan Chargers,Wankhede Stadium,Deccan Chargers,bat,Deccan Chargers,10,runs,A Mishra
Dharamsala,5/15/2011,2011,60,Kings XI Punjab,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,field,Kings XI Punjab,29,runs,PP Chawla
Indore,5/15/2011,2011,61,Kochi Tuskers Kerala,Rajasthan Royals,Holkar Cricket Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,8,wickets,BJ Hodge
Mumbai,5/16/2011,2011,62,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,6,wickets,A Mishra
Dharamsala,5/17/2011,2011,63,Kings XI Punjab,Royal Challengers Bangalore,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,bat,Kings XI Punjab,111,runs,AC Gilchrist
Chennai,5/18/2011,2011,64,Chennai Super Kings,Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,11,runs,WP Saha
Mumbai,5/19/2011,2011,65,Pune Warriors,Kolkata Knight Riders,Dr DY Patil Sports Academy,Kolkata Knight Riders,field,Kolkata Knight Riders,7,wickets,YK Pathan
Mumbai,5/20/2011,2011,66,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,bat,Rajasthan Royals,10,wickets,SR Watson
Dharamsala,5/21/2011,2011,67,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,field,Deccan Chargers,82,runs,S Dhawan
Delhi,5/21/2011,2011,68,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Delhi Daredevils,bat,Deccan Chargers,82,runs,NA
Bangalore,5/22/2011,2011,69,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,8,wickets,CH Gayle
Kolkata,5/22/2011,2011,70,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians,5,wickets,JEC Franklin
Mumbai,5/24/2011,2011,Qualifier 1,Royal Challengers Bangalore,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Chennai Super Kings,6,wickets,SK Raina
Mumbai,5/25/2011,2011,Elimination Final,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,4,wickets,MM Patel
Chennai,5/27/2011,2011,Qualifier 2,Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Royal Challengers Bangalore,43,runs,CH Gayle
Chennai,5/28/2011,2011,Final,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,58,runs,M Vijay
Chennai,4/4/2012,2012,1,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Mumbai Indians,8,wickets,RE Levi
Kolkata,4/5/2012,2012,2,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Delhi Daredevils,field,Delhi Daredevils,8,wickets,IK Pathan
Mumbai,4/6/2012,2012,3,Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai Indians,field,Pune Warriors,28,runs,SPD Smith
Jaipur,4/6/2012,2012,4,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,field,Rajasthan Royals,31,runs,AM Rahane
Bangalore,4/7/2012,2012,5,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,field,Royal Challengers Bangalore,20,runs,AB de Villiers
Visakhapatnam,4/7/2012,2012,6,Deccan Chargers,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,field,Chennai Super Kings,74,runs,RA Jadeja
Jaipur,4/8/2012,2012,7,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Rajasthan Royals,22,runs,BJ Hodge
Pune,4/8/2012,2012,8,Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium,Pune Warriors,bat,Pune Warriors,22,runs,MN Samuels
Visakhapatnam,4/9/2012,2012,9,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Deccan Chargers,bat,Mumbai Indians,5,wickets,RG Sharma
Bangalore,4/10/2012,2012,10,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,42,runs,L Balaji
Delhi,4/10/2012,2012,11,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,8,wickets,M Morkel
Mumbai,4/11/2012,2012,12,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Mumbai Indians,27,runs,KA Pollard
Chennai,4/12/2012,2012,13,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Chennai Super Kings,5,wickets,F du Plessis
Chandigarh,4/12/2012,2012,14,Kings XI Punjab,Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab,7,wickets,AD Mascarenhas
Kolkata,4/13/2012,2012,15,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,bat,Kolkata Knight Riders,5,wickets,Shakib Al Hasan
Delhi,4/19/2012,2012,23,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,bat,Delhi Daredevils,5,wickets,KP Pietersen
Pune,4/14/2012,2012,16,Pune Warriors,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,bat,Pune Warriors,7,wickets,JD Ryder
Kolkata,4/15/2012,2012,17,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,field,Kings XI Punjab,2,runs,SP Narine
Bangalore,4/15/2012,2012,18,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,bat,Rajasthan Royals,59,runs,AM Rahane
Mumbai,4/16/2012,2012,19,Mumbai Indians,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,field,Delhi Daredevils,7,wickets,S Nadeem
Jaipur,4/17/2012,2012,20,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Deccan Chargers,bat,Rajasthan Royals,5,wickets,BJ Hodge
Bangalore,4/17/2012,2012,21,Royal Challengers Bangalore,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,bat,Royal Challengers Bangalore,6,wickets,CH Gayle
Chandigarh,4/18/2012,2012,22,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kolkata Knight Riders,8,wickets,G Gambhir
Hyderabad,5/10/2012,2012,55,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,9,wickets,DA Warner
Chennai,4/19/2012,2012,24,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Pune Warriors,field,Chennai Super Kings,13,runs,KMDN Kulasekara
Chandigarh,4/20/2012,2012,25,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,field,Royal Challengers Bangalore,5,wickets,CH Gayle
Chennai,4/21/2012,2012,26,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Chennai Super Kings,7,wickets,F du Plessis
Delhi,4/21/2012,2012,27,Delhi Daredevils,Pune Warriors,Feroz Shah Kotla,Delhi Daredevils,field,Pune Warriors,20,runs,SC Ganguly
Mumbai,4/22/2012,2012,28,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,bat,Kings XI Punjab,6,wickets,SE Marsh
Cuttack,4/22/2012,2012,29,Deccan Chargers,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,5,wickets,B Lee
Jaipur,4/23/2012,2012,30,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Rajasthan Royals,field,Royal Challengers Bangalore,46,runs,AB de Villiers
Pune,4/24/2012,2012,31,Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium,Pune Warriors,bat,Delhi Daredevils,8,wickets,V Sehwag
Chandigarh,4/25/2012,2012,33,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Mumbai Indians,4,wickets,AT Rayudu
Pune,4/26/2012,2012,35,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,Deccan Chargers,bat,Deccan Chargers,18,runs,CL White
Delhi,4/27/2012,2012,36,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,field,Delhi Daredevils,37,runs,V Sehwag
Chennai,4/28/2012,2012,37,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,bat,Kings XI Punjab,7,runs,Mandeep Singh
Kolkata,4/28/2012,2012,38,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,47,runs,G Gambhir
Delhi,4/29/2012,2012,39,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,1,runs,V Sehwag
Mumbai,4/29/2012,2012,40,Mumbai Indians,Deccan Chargers,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,5,wickets,DW Steyn
Chennai,4/30/2012,2012,41,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Kolkata Knight Riders,5,wickets,G Gambhir
Cuttack,5/1/2012,2012,42,Deccan Chargers,Pune Warriors,Barabati Stadium,Deccan Chargers,bat,Deccan Chargers,13,runs,KC Sangakkara
Jaipur,5/1/2012,2012,43,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,bat,Delhi Daredevils,6,wickets,P Negi
Bangalore,5/2/2012,2012,44,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,4,wickets,Azhar Mahmood
Pune,5/3/2012,2012,45,Pune Warriors,Mumbai Indians,Subrata Roy Sahara Stadium,Mumbai Indians,bat,Mumbai Indians,1,runs,SL Malinga
Chennai,5/4/2012,2012,46,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,10,runs,SK Raina
Kolkata,5/5/2012,2012,47,Kolkata Knight Riders,Pune Warriors,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,7,runs,SP Narine
Chandigarh,5/5/2012,2012,48,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,bat,Rajasthan Royals,43,runs,SR Watson
Mumbai,5/6/2012,2012,49,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,2,wickets,DR Smith
Bangalore,5/6/2012,2012,50,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,5,wickets,AB de Villiers
Delhi,5/7/2012,2012,51,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,Kolkata Knight Riders,6,wickets,JH Kallis
Pune,5/8/2012,2012,52,Pune Warriors,Rajasthan Royals,Subrata Roy Sahara Stadium,Pune Warriors,bat,Rajasthan Royals,7,wickets,SR Watson
Hyderabad,5/8/2012,2012,53,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Kings XI Punjab,25,runs,Mandeep Singh
Mumbai,5/9/2012,2012,54,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,9,wickets,CH Gayle
Jaipur,5/10/2012,2012,56,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,field,Chennai Super Kings,4,wickets,BW Hilfenhaus
Pune,5/11/2012,2012,57,Pune Warriors,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Pune Warriors,field,Royal Challengers Bangalore,35,runs,CH Gayle
Kolkata,5/12/2012,2012,58,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,27,runs,RG Sharma
Chennai,5/12/2012,2012,59,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,field,Chennai Super Kings,9,wickets,BW Hilfenhaus
Jaipur,5/13/2012,2012,60,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,45,runs,A Chandila
Chandigarh,5/13/2012,2012,61,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,bat,Kings XI Punjab,4,wickets,DJ Hussey
Bangalore,5/14/2012,2012,62,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,5,wickets,AT Rayudu
Kolkata,5/14/2012,2012,63,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,5,wickets,MEK Hussey
Delhi,5/15/2012,2012,64,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,bat,Delhi Daredevils,5,wickets,UT Yadav
Mumbai,5/16/2012,2012,65,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Kolkata Knight Riders,32,runs,SP Narine
Dharamsala,5/17/2012,2012,66,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,field,Kings XI Punjab,6,wickets,AC Gilchrist
